total,intExpID,type,column,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,play_Pos,RTT,Clae,Duanmu,Yin,Yu,P1203,rtt_qos,tp_qos,p_qos
118,102,driving,1,3,2,58,164929,2306,2016,4375,6301,7266,1816520,2000,exponential,2000,1920,1080,1920x1080,114000,44.938,2.861,71.054,184156.049,-17.22,1.724,16.962,820722.2376,497
119,102,driving,1,3,2,59,168950,2294,2020,4375,4633,5314,1328639,2000,exponential,2000,1920,1080,1920x1080,116000,51.125,2.886,71.135,188510.068,-17.215,1.722,19.423,601461.7616,439
120,102,driving,1,3,2,60,171992,1283,1042,4375,3805,2441,610383,2000,exponential,2000,1920,1080,1920x1080,118000,31.601,2.91,70.75,189963.087,-17.412,1.719,9.054,502129.4652,212
121,102,driving,1,3,3,1,50,49,0,4375,826,20,5065,2000,exponential,2000,1920,1080,1920x1080,0,26.874,0,80.025,-1624.981,4.375,3.936,3.61,521563.2093,3
122,102,driving,1,3,3,2,2005,1257,0,766,1712,1076,269129,4000,exponential,2000,512,288,512x288,2000,97.886,0,65.321,-10467.404,2.571,2.874,40.691,245415.6318,94
123,102,driving,1,3,3,3,3859,846,0,1077,4773,2019,504822,4146,exponential,2000,640,360,640x360,4000,90.574,0,60.684,2298.894,2.073,3.106,32.754,729877.0592,121
124,102,driving,1,3,3,4,7640,2845,0,1801,2444,3477,869396,2366,exponential,2000,736,414,736x414,6000,68.06,0.252,59.92,3376.816,2.005,3.345,44.02,321168.2795,302
125,102,driving,1,3,3,5,10618,2063,612,2422,2674,2758,689642,2000,exponential,2000,1280,720,1280x720,8000,47.964,0.679,64.664,7014.15,-18.244,3.359,27.653,351788.865,240
126,102,driving,1,3,3,6,11913,456,0,3091,14066,3207,801782,2706,exponential,2000,1280,720,1280x720,10000,61.018,1.029,65.142,9436.517,-18.144,3.506,27.495,2356530.222,112
127,102,driving,1,3,3,7,15884,3040,1264,4375,2447,3720,930218,2000,exponential,2000,1920,1080,1920x1080,12000,88.166,1.235,69.503,14484.423,-17.665,3.244,32.536,323226.9159,323
128,102,driving,1,3,3,8,18912,2163,1028,4375,2893,3129,782275,2000,exponential,2000,1920,1080,1920x1080,14000,56.597,1.475,74.391,21943.442,-17.355,3.06,26.672,381368.8765,272
129,102,driving,1,3,3,9,23835,3975,2922,4375,1848,3673,918424,2000,exponential,2000,1920,1080,1920x1080,16000,52.564,1.704,80.326,31292.461,-17.129,2.82,0.031,316496.747,288
130,102,driving,1,3,3,10,26663,1874,827,2422,2092,1961,490257,2000,exponential,2000,1280,720,1280x720,18000,61.279,1.75,77.842,31159.176,-17.199,2.732,30.742,279795.9146,171
131,102,driving,1,3,3,11,28052,402,0,1801,7891,1586,396552,2611,exponential,2000,736,414,736x414,20000,38.575,1.67,67.72,23573.477,-17.739,2.681,22.773,1186343.631,99
132,102,driving,1,3,3,12,31727,2657,1063,3091,1984,2636,659139,2000,exponential,2000,1280,720,1280x720,22000,50.904,1.796,68.211,26082.811,-17.631,2.604,28.419,255975.3343,229
133,102,driving,1,3,3,13,35308,2556,1581,3918,2527,3230,807534,2000,exponential,2000,1920,1080,1920x1080,24000,21.063,1.937,72.262,33917.717,-17.284,2.515,14.183,323155.1511,280
134,102,driving,1,3,3,14,38300,1956,991,4375,2816,2754,688741,2000,exponential,2000,1920,1080,1920x1080,26000,23.593,2.061,72.31,37620.138,-17.201,2.449,7.085,363246.2094,227
135,102,driving,1,3,3,15,39872,437,0,1801,5655,1235,308918,2429,exponential,2000,736,414,736x414,28000,15.587,1.97,68.268,32104.787,-17.686,2.422,10.616,782358.1515,79
136,102,driving,1,3,3,16,42087,1182,0,3091,4942,2921,730304,2214,exponential,2000,1280,720,1280x720,30000,49.043,2.05,66.307,30933.121,2.948,2.473,20.948,675911.9617,174
